Name,Year,F,C,K
Name1,2/7/2019,953,1189,2.28321501
Name2,2/7/2019,362,915,0.943117762
Name3,2/7/2019,1172,1247,2.765428601
Name4,2/7/2019,124,777,0.340407455
Name5,2/7/2019,4245,13791,4.64214985
Name6,2/7/2019,58,542,0.178673574
Name1,1/6/2020,1217,1453,2.734498474
Name2,1/6/2020,589,1233,1.394823366
Name3,1/6/2020,1563,1910,3.217661871
Name4,1/6/2020,163,943,0.420587118
Name5,1/6/2020,5292,15572,5.566493839
Name7,1/6/2020,1670,345,5.944652387
Name8,1/6/2020,462,2129,0.918624169
Name1,2/11/2021,1696,1862,3.520014521
Name2,2/11/2021,883,1650,1.904925279
Name3,2/11/2021,1965,2213,3.85905178
Name4,2/11/2021,205,1241,0.484461193
Name5,2/11/2021,6353,17861,6.395597328
Name7,2/11/2021,2261,581,6.812026106
Name8,2/11/2021,594,2530,1.117634969
